subject_id,motif_id,usage_percentage,frequency_starts,total_frames,source_path
Female8- CBD- DN6-02-19-21_DLC,1,453.0,43,453,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,2,1504.0,146,1504,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,3,745.0,45,745,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,4,1567.0,107,1567,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,5,395.0,62,395,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,6,7.0,1,7,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,7,2732.0,84,2732,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,8,1756.0,117,1756,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,9,954.0,42,954,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,10,2351.0,94,2351,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,11,491.0,78,491,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,12,774.0,62,774,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,13,1324.0,58,1324,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Female8- CBD- DN6-02-19-21_DLC,14,1649.0,120,1649,Open-Field-Test\results\Female8- CBD- DN6-02-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,0,1834.0,137,1834,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,1,938.0,74,938,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,2,2156.0,201,2156,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,3,2650.0,163,2650,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,4,1524.0,102,1524,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,5,2413.0,228,2413,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,6,0.0,0,0,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,7,603.0,16,603,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,8,982.0,80,982,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,9,47.0,6,47,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,10,1093.0,52,1093,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,11,1167.0,112,1167,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,12,888.0,68,888,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,13,1990.0,90,1990,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 1-CBD-DN1-2-19-21_DLC,14,588.0,57,588,Open-Field-Test\results\Male 1-CBD-DN1-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,0,1590.0,149,1590,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,1,945.0,93,945,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,2,4198.0,382,4198,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,3,1935.0,128,1935,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,4,1137.0,112,1137,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,5,1532.0,194,1532,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
